date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:07:51	218602/218602	---M-Z	200	added ('OK')	application/javascript	etag:%22355ea-5a2402a33365b-gzip%22	https://covid.gov.pk/theme_js/plugins.js	C:/My%20Web%20Sites/test/covid.gov.pk/theme_js/plugins.js	(from https://covid.gov.pk/stats/pakistan)
05:07:52	5532/5532	---M-Z	200	added ('OK')	application/javascript	etag:%22159c-5a2402a3326bb-gzip%22	https://covid.gov.pk/theme_js/animated.js	C:/My%20Web%20Sites/test/covid.gov.pk/theme_js/animated.js	(from https://covid.gov.pk/stats/pakistan)
05:07:52	4344/4344	---M-Z	200	added ('OK')	application/javascript	etag:%2210f8-5a2402a3326bb-gzip%22	https://covid.gov.pk/theme_js/jquery.syotimer.min.js	C:/My%20Web%20Sites/test/covid.gov.pk/theme_js/jquery.syotimer.min.js	(from https://covid.gov.pk/stats/pakistan)
05:07:53	5468/5468	---M-Z	200	added ('OK')	application/javascript	etag:%22155c-5ad4d72f165e4-gzip%22	https://covid.gov.pk/theme_js/script.js?1.1v	C:/My%20Web%20Sites/test/covid.gov.pk/theme_js/script6d13.js	(from https://covid.gov.pk/stats/pakistan)
05:07:54	81906/81906	---M-Z	200	added ('OK')	application/javascript	etag:%2211211b8-13ff2-5b0fd65dcdcab-gzip%22	https://cdn.datatables.net/1.10.16/js/jquery.dataTables.min.js	C:/My%20Web%20Sites/test/cdn.datatables.net/1.10.16/js/jquery.dataTables.min.js	(from https://covid.gov.pk/stats/pakistan)
05:07:56	2085/2085	---M-Z	200	added ('OK')	application/javascript	etag:%221121cd9-825-5712f444e1daa-gzip%22	https://cdn.datatables.net/1.10.19/js/dataTables.bootstrap4.min.js	C:/My%20Web%20Sites/test/cdn.datatables.net/1.10.19/js/dataTables.bootstrap4.min.js	(from https://covid.gov.pk/stats/pakistan)
05:08:07	204418/204418	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20Nov%202020%2013:07:57%20GMT	http://d.bablic.com/snippet/5eb12116c8ff600001784655.js?version=3.9	C:/My%20Web%20Sites/test/d.bablic.com/snippet/5eb12116c8ff60000178465519c4.js	(from https://covid.gov.pk/stats/pakistan)
05:08:07	56057/56057	---M--	200	added ('OK')	image/png	etag:%22daf9-5ac822ce21491%22	https://covid.gov.pk/images/stats.PNG	C:/My%20Web%20Sites/test/covid.gov.pk/images/stats.png	(from https://covid.gov.pk/stats/weekly)
05:08:07	110848/110848	---M--	200	added ('OK')	image/jpeg	etag:%221b100-5a2402a32a9b8%22	https://covid.gov.pk/theme_img/core-img/aboutus_header_Img.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/theme_img/core-img/aboutus_header_Img.jpg	(from https://covid.gov.pk/covid19)
05:08:07	27226865/27226865	---M--	200	added ('OK')	video/mp4	etag:%2219f72f1-5b543e730aad7%22	https://covid.gov.pk/videos/message.mp4	C:/My%20Web%20Sites/test/covid.gov.pk/videos/message.mp4	(from http://covid.gov.pk/)
